Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
runtime application self-protection,320,Cybersecurity Practices,Runtime Application Security,Runtime Application Security Solutions,Pillar page,Commercial,Commercial,text
rasp security,320,Cybersecurity Practices,RASP Overview,RASP Security Overview,Supporting,Commercial,Commercial,text
vulnerability assessment tool,320,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
pam cybersecurity,320,Security Management,Privileged Access Management,PAM Security Solutions Overview,Supporting,Commercial,Commercial,text
breach attack simulation,320,Threat Management,Breach Attack Simulation,Overview Of Breach Attack Simulation,Supporting,Commercial,Commercial,text
casb vendors,320,Cybersecurity Practices,CASB Solutions,Exploring CASB Solutions and Vendors,Pillar page,Commercial,Commercial,text
whale phishing,320,Threat Management,Whaling Cybersecurity,What Is Whale Phishing?,Supporting,Informational,Informational,text
threat intelligence companies,320,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
iam management,320,Security Management,Identity Access Management,Effective IAM Management Strategies,Supporting,Commercial,Commercial,text
siem vs xdr,320,Cybersecurity Services,SIEM Comparisons,XDR Compared to SIEM,Pillar page,Informational,Informational,text
siem/soc,260,Cybersecurity Services,SIEM Overview,SIEM and SOC Comparison,Supporting,Informational,Informational,text
soar security orchestration automation and response,260,Cybersecurity Services,Security Orchestration Automation,Guide to SOAR and Automation,Pillar page,Informational,Commercial,text
soc managed services,260,Cybersecurity Services,SOC as a Service,Overview of SOC Managed Services,Supporting,Commercial,Commercial,text
threat vulnerability assessment,260,Threat Management,Vulnerability Management,Threat and Vulnerability Management,Supporting,Informational,Commercial,text
security threats and vulnerabilities,260,Threat Management,Vulnerability Management,Security Vulnerabilities Overview,Supporting,Informational,Informational,text
web application vulnerabilities,260,Cybersecurity Practices,Application Security Solutions,Common Web Application Vulnerabilities,Supporting,Informational,Informational,text
threat intelligence report,260,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Informational,text
backdoor malware,260,Threat Management,Backdoor Cybersecurity,Backdoor Malware in Cyber Security,Supporting,Informational,Informational,text
mdr definition,260,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Definition and Meaning,Pillar page,Informational,Informational,text
managed soc service,260,Cybersecurity Services,SOC as a Service,Exploring Managed SOC Services,Pillar page,Commercial,Commercial,text
pci compliance test,260,Compliance and Governance,PCI Compliance Solutions,PCI Compliance Solutions Overview,Pillar page,Transactional,Transactional,text
cspm vendors,260,Cybersecurity Practices,Cloud Security Posture Management,CSPM Tools and Vendors Overview,Pillar page,Commercial,Commercial,text
cybersecurity regulatory compliance,260,Compliance and Governance,Cybersecurity Compliance Solutions,Overview of Cybersecurity Compliance Standards,Supporting,Informational,Informational,text
cybersecurity assessment tool,260,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
best siem solutions,260,Cybersecurity Services,SIEM Overview,Best SIEM Tools and Solutions,Supporting,Commercial,Commercial,text
log management solutions,260,Cybersecurity Services,Log Management Solutions,Top Log Management Solutions,Pillar page,Commercial,Commercial,text
drp cyber security,260,Risk Management,DRP Overview,Understanding DRP in Cyber Security,Supporting,Informational,Informational,text
network analyzer tools,260,Threat Management,Network Traffic Analysis,Best Network Analyzer Tools,Supporting,Commercial,Commercial,text
how ransomware works,260,Threat Management,Ransomware Awareness,Mechanics of Ransomware Operations,Supporting,Informational,Informational,text
network analysis tool,260,Threat Management,Network Traffic Analysis,Best Network Analyzer Tools,Supporting,Commercial,Commercial,text
cyber risk services,260,Risk Management,Cybersecurity Risk Management,Professional Cyber Risk Services,Supporting,Commercial,Commercial,text
red team penetration testing,260,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Commercial,text
risk intelligence platform,210,Compliance and Governance,AI Risk Management Solutions,Top Risk Intelligence Solutions,Supporting,Commercial,Commercial,text
siem pricing,210,Cybersecurity Services,SIEM Overview,SIEM Pricing Information,Supporting,Transactional,Transactional,text
siem security definition,210,Cybersecurity Services,SIEM Overview,SIEM in Cybersecurity Context,Supporting,Mixed,Informational,text
mdr companies,210,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Commercial,text
mdr company,210,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Commercial,text
vulnerability management automation,210,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
intrusion detection and prevention system,210,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Commercial,text
tprm program,210,Risk Management,TPRM Overview,Understanding TPRM Programs,Pillar page,Informational,Informational,text
external pen test,210,Threat Management,Penetration Testing Overview,External Penetration Testing Overview,Supporting,Commercial,Commercial,text
web application security assessment,210,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Commercial,text
define asm,210,Cybersecurity Services,ASM Security Solutions,Definition and Overview of ASM,Pillar page,Informational,Informational,text
xdr in cyber security,210,Cybersecurity Services,XDR Cybersecurity Solutions,XDR in Cybersecurity Overview,Supporting,Commercial,Informational,text
red team as a service,210,Threat Management,Red Teaming Concepts,Red Team Testing Services Overview,Supporting,Mixed,Commercial,text
rbac model,210,Security Management,RBAC in Cyber Security,Understanding RBAC Model,Supporting,Informational,Informational,text
patch management as a service,210,Threat Management,Patch Management Strategies,Comprehensive Patch Management Solutions,Pillar page,Commercial,Commercial,text
what is mxdr,210,Cybersecurity Services,XDR Cybersecurity Solutions,What Is MXDR?,Supporting,Informational,Informational,text
cloud access security broker solutions,210,Cybersecurity Practices,CASB Solutions,Understanding Cloud Access Security Brokers,Supporting,Commercial,Commercial,text
soc as a service pricing,170,Cybersecurity Services,SOC as a Service,Understanding SOC as a Service,Supporting,Commercial,Transactional,text
dark web monitor,170,Threat Management,Dark Web Insights,Dark Web Monitoring Explained,Supporting,Mixed,Commercial,text
soar products,170,Cybersecurity Services,SOAR in Cybersecurity,Top SOAR Solutions and Services,Supporting,Commercial,Commercial,text
kerberosting,170,Threat Management,Kerberoasting Explained,Understanding Kerberos Authentication,Pillar page,Informational,Informational,text
artificial intelligence regulatory compliance,170,Compliance and Governance,AI Compliance Framework,Understanding AI Regulatory Compliance,Supporting,Informational,Informational,text
vmaas,170,Threat Management,MVM Solutions,VMAAS Solutions Overview,Supporting,Commercial,Commercial,text
identity management as a service,170,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
risk intelligence software,170,Compliance and Governance,AI Risk Management Solutions,Top Risk Intelligence Solutions,Supporting,Commercial,Commercial,text
eap cybersecurity,170,Cybersecurity Practices,EAP Cybersecurity Overview,Understanding EAP Cybersecurity,Pillar page,Informational,Informational,text
bas tools,170,Cybersecurity Services,Security Analytics Tools,Best Bas Tools Comparison,Supporting,Commercial,Commercial,text
multi factor authentication security,170,Security Management,Multi-Factor Authentication,Understanding Multi-Factor Authentication,Pillar page,Mixed,Commercial,text
compliance for cyber security,170,Compliance and Governance,Cybersecurity Compliance Solutions,Overview of Cybersecurity Compliance Standards,Supporting,Informational,Informational,text
cloud security fundamentals,170,Cybersecurity Practices,Cloud Security Solutions,Cloud Security Fundamentals Guide,Supporting,Informational,Informational,text
what are cyber physical systems,170,Cybersecurity Practices,Cyber-Physical Systems,Understanding Cyber Physical Systems,Pillar page,Informational,Informational,text
vulnerability assessment companies,140,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
user behavior analysis,140,Threat Management,User Behavior Analytics,Understanding User Behavior Analytics,Pillar page,Commercial,Commercial,text
what does osint mean,140,Threat Management,Open Source Intelligence,What Is OSINT Explained,Supporting,Informational,Informational,text
what is advanced threat protection,140,Threat Management,Advanced Threat Protection,Advanced Threat Protection Solutions,Pillar page,Commercial,Informational,text
breach and attack simulation tools,140,Threat Management,Breach Attack Simulation,Top Breach And Attack Simulation Tools,Pillar page,Commercial,Commercial,text
breach response services,140,Risk Management,Incident Response Solutions,Breach Response Service Overview,Supporting,Commercial,Commercial,text
